,level_0,index,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,0,0,ponta do sol,cv,17.2,-25.09,71.95,100.0,0.0,13.78
1,1,1,ushuaia,ar,-54.81,-68.31,37.4,74.0,75.0,6.93
2,2,2,kruisfontein,za,-34.0,24.73,61.87,76.0,0.0,3.71
3,3,3,nalut,ly,31.86,10.98,81.13,47.0,0.0,9.19
4,4,5,victoria,sc,-4.62,55.45,80.6,88.0,75.0,10.29
5,5,7,narsaq,gl,60.91,-46.05,55.4,26.0,75.0,40.26
6,6,8,longyearbyen,sj,78.22,15.64,46.4,70.0,20.0,19.46
7,7,9,cape town,za,-33.93,18.42,68.31,63.0,20.0,5.82
8,8,10,qaanaaq,gl,77.48,-69.36,31.72,99.0,56.0,5.84
9,9,11,hermanus,za,-34.42,19.24,56.65,71.0,0.0,2.04
10,10,12,nouakchott,mr,18.08,-15.98,72.31,85.0,0.0,17.36
11,11,13,bredasdorp,za,-34.53,20.04,68.0,37.0,0.0,3.36
12,12,14,port elizabeth,za,-33.92,25.57,66.2,48.0,0.0,10.29
13,13,17,tasiilaq,gl,65.61,-37.64,33.43,96.0,80.0,1.14
14,14,18,mahebourg,mu,-20.41,57.7,77.0,83.0,75.0,2.24
15,15,19,dikson,ru,73.51,80.55,34.33,90.0,0.0,23.06
16,16,20,aksarayskiy,ru,46.79,48.01,93.2,13.0,20.0,8.95
17,17,21,tiznit,ma,29.7,-9.73,69.25,85.0,0.0,7.4
18,18,22,port alfred,za,-33.59,26.89,63.94,79.0,0.0,2.93
19,19,23,skibbereen,ie,51.55,-9.27,59.0,67.0,75.0,17.22
20,20,24,itupiranga,br,-5.13,-49.33,89.6,59.0,40.0,2.24
21,21,25,igurubi,tz,-4.0,33.71,79.51,43.0,56.0,8.97
22,22,27,east london,za,-33.02,27.91,66.2,45.0,0.0,5.82
23,23,28,husavik,is,66.04,-17.34,51.8,50.0,0.0,11.41
24,24,31,semey,kz,50.41,80.25,68.44,62.0,0.0,3.04
25,25,33,georgetown,sh,-7.93,-14.42,77.44,100.0,12.0,18.7
26,26,34,belmonte,br,-26.84,-53.58,69.97,67.0,0.0,4.83
27,27,35,strezhevoy,ru,60.73,77.6,59.0,93.0,40.0,15.66
28,28,36,ndele,cf,8.41,20.65,77.35,87.0,92.0,4.72
29,29,38,bambous virieux,mu,-20.34,57.76,77.0,83.0,75.0,2.24
30,30,40,caravelas,br,-17.73,-39.27,75.82,100.0,64.0,15.68
31,31,41,chuy,uy,-33.69,-53.46,63.58,90.0,8.0,7.74
32,32,43,sao filipe,cv,14.9,-24.5,75.28,91.0,0.0,11.99
33,33,44,saldanha,za,-33.01,17.94,60.8,55.0,0.0,2.24
34,34,45,vikindu,tz,-6.98,39.3,84.2,70.0,40.0,6.93
35,35,46,agadez,ne,16.97,7.99,91.4,46.0,0.0,16.11
36,36,47,busselton,au,-33.64,115.35,61.51,100.0,88.0,8.97
